#beta,hightemp,lowtemp,a0a0a0_hightemp,a0a0a0_lowtemp
5	0.167678435679	0.178273119292	0.199814761974  0.267422831541	
10	0.250707084766	0.251865896235	0.316488432451	0.4284148294492
12	0.291464253883  0.2901410973	0.358781888752	0.44750783417
15	0.3431		0.346229520307	0.389169705479	0.454374650429
17	0.3661		0.3716		0.4083		0.455	
20	0.3881		0.3825		0.4494		0.454914360131
25	0.4062	        0.3932464531    0.446438050308  0.454344684472 
30	0.412666787086	0.393656888425	0.455102482347	0.454720478273
35	0.426167117641  0.394531080728  0.455839766923  0.455736127777
40	0.424742683098	0.395272036922	0.454236111996	0.453504563256
70	0.42400693	0.391832267445  0.45448823265	0.454099129828
100	0.426527998831	0.397426503054	0.453739091329	0.453982871868

