#beta,hightemp,lowtemp,a0a0a0_hightemp,a0a0a0_lowtemp
5	0.896930188118	0.854117983902	0.804504088675	0.634472484374
10	0.734966768982	0.692857714543  0.597667402221	0.354968814692
12	0.657898931603	0.609754001663	0.529086382859	0.323780467015
15	0.55		0.491		0.475586908378	0.310945210913
17	0.4937		0.4332		0.4183		0.3121
20	0.4347		0.4041		0.3213		0.310595178476			
#22	0.3991		0.3964		0.3558		0.310595178476
25	0.385234195067	0.377339361393  0.329770993723  0.312155217564
30	0.368061916494	0.377313957984  0.307642782563	0.311569035658
35	0.33687281593	0.374200053754	0.307809767119	0.310120684777
40	0.335963018722	0.373367154553	0.310790055167	0.313291141073
70	0.336398756647	0.376738100256  0.309424444788	0.312390138949
100	0.335086313418	0.371241543042	0.311809676332	0.313014039997

